행정동,치안센터
서울특별시 광진구 중곡2동,1
서울특별시 광진구 중곡3동,1
서울특별시 광진구 중곡4동,1
서울특별시 광진구 화양동,1
서울특별시 구로구 가리봉동,1
서울특별시 구로구 개봉1동,1
서울특별시 구로구 개봉2동,1
서울특별시 구로구 개봉3동,1
서울특별시 구로구 고척1동,0
서울특별시 구로구 고척2동,1
서울특별시 구로구 구로1동,1
서울특별시 구로구 구로2동,1
서울특별시 구로구 구로3동,1
서울특별시 구로구 구로4동,1
서울특별시 구로구 구로5동,1
서울특별시 구로구 수궁동,0
서울특별시 구로구 신도림동,1
서울특별시 구로구 오류1동,1
서울특별시 구로구 오류2동,1
서울특별시 구로구 항동,0
서울특별시 금천구 가산동,1
서울특별시 금천구 독산1동,1
서울특별시 금천구 독산2동,0
서울특별시 금천구 독산3동,0
서울특별시 금천구 독산4동,1
서울특별시 금천구 시흥1동,2
서울특별시 금천구 시흥2동,0
서울특별시 금천구 시흥3동,1
서울특별시 금천구 시흥4동,0
서울특별시 금천구 시흥5동,1
서울특별시 노원구 공릉1동,1
서울특별시 노원구 공릉2동,0
서울특별시 노원구 상계10동,0
서울특별시 노원구 상계1동,1
서울특별시 노원구 상계2동,0
서울특별시 노원구 상계3·4동,1
서울특별시 노원구 상계5동,0
서울특별시 노원구 상계6·7동,1
서울특별시 노원구 상계8동,0
서울특별시 노원구 상계9동,1
서울특별시 노원구 월계1동,0
서울특별시 노원구 월계2동,0
서울특별시 노원구 월계3동,1
서울특별시 노원구 중계1동,1
서울특별시 노원구 중계2·3동,1
서울특별시 노원구 중계4동,0
서울특별시 노원구 중계본동,0
서울특별시 노원구 하계1동,1
서울특별시 노원구 하계2동,0
서울특별시 도봉구 도봉1동,1
서울특별시 도봉구 도봉2동,1
서울특별시 도봉구 방학1동,1
서울특별시 도봉구 방학2동,1
서울특별시 도봉구 방학3동,1
서울특별시 도봉구 쌍문1동,1
서울특별시 도봉구 쌍문2동,1
서울특별시 도봉구 쌍문3동,0
서울특별시 도봉구 쌍문4동,0
서울특별시 도봉구 창1동,0
서울특별시 도봉구 창2동,1
서울특별시 도봉구 창3동,0
서울특별시 도봉구 창4동,1
서울특별시 도봉구 창5동,0
서울특별시 동대문구 답십리1동,1
서울특별시 동대문구 답십리2동,1
서울특별시 동대문구 용신동,1
서울특별시 동대문구 이문1동,1
서울특별시 동대문구 이문2동,0
서울특별시 동대문구 장안1동,2
서울특별시 동대문구 장안2동,1
서울특별시 동대문구 전농1동,2
서울특별시 동대문구 전농2동,0
서울특별시 동대문구 제기동,1
서울특별시 동대문구 청량리동,1
서울특별시 동대문구 회기동,1
서울특별시 동대문구 휘경1동,0
서울특별시 동대문구 휘경2동,1
서울특별시 동작구 노량진1동,0
서울특별시 동작구 노량진2동,0
서울특별시 동작구 대방동,2
서울특별시 동작구 사당1동,1
서울특별시 동작구 사당2동,0
서울특별시 동작구 사당3동,1
서울특별시 동작구 사당4동,0
서울특별시 동작구 사당5동,0
서울특별시 동작구 상도1동,0
서울특별시 동작구 상도2동,2
서울특별시 동작구 상도3동,0
서울특별시 동작구 상도4동,0
서울특별시 동작구 신대방1동,1
서울특별시 동작구 신대방2동,0
서울특별시 동작구 흑석동,2
서울특별시 마포구 공덕동,0
서울특별시 마포구 대흥동,0
서울특별시 마포구 도화동,0
서울특별시 마포구 망원1동,1
서울특별시 마포구 망원2동,1
서울특별시 마포구 상암동,1
서울특별시 마포구 서강동,1
서울특별시 마포구 서교동,3
서울특별시 마포구 성산1동,0
서울특별시 마포구 성산2동,1
서울특별시 마포구 신수동,0
서울특별시 마포구 아현동,1
서울특별시 마포구 연남동,1
서울특별시 마포구 염리동,0
서울특별시 마포구 용강동,1
서울특별시 마포구 합정동,0
서울특별시 서대문구 남가좌1동,0
서울특별시 서대문구 남가좌2동,1
서울특별시 서대문구 북가좌1동,0
서울특별시 서대문구 북가좌2동,1
서울특별시 서대문구 북아현동,0
서울특별시 서대문구 신촌동,1
서울특별시 서대문구 연희동,1
서울특별시 서대문구 천연동,1
서울특별시 서대문구 충현동,1
서울특별시 서대문구 홍은1동,1
서울특별시 서대문구 홍은2동,1
서울특별시 서대문구 홍제1동,1
서울특별시 서대문구 홍제2동,0
서울특별시 서대문구 홍제3동,0
서울특별시 서초구 내곡동,1
서울특별시 서초구 반포1동,0
서울특별시 서초구 반포2동,1
서울특별시 서초구 반포3동,0
서울특별시 서초구 반포4동,1
서울특별시 서초구 반포본동,0
서울특별시 서초구 방배1동,1
서울특별시 서초구 방배2동,1
서울특별시 서초구 방배3동,0
서울특별시 서초구 방배4동,1
서울특별시 서초구 방배본동,1
서울특별시 서초구 서초1동,1
서울특별시 서초구 서초2동,1
서울특별시 서초구 서초3동,2
서울특별시 서초구 서초4동,0
서울특별시 서초구 양재1동,3
서울특별시 서초구 양재2동,0
서울특별시 서초구 잠원동,1
서울특별시 성동구 금호1가동,0
서울특별시 성동구 금호2·3가동,1
서울특별시 성동구 금호4가동,0
서울특별시 성동구 마장동,0
서울특별시 성동구 사근동,1
서울특별시 성동구 성수1가1동,0
서울특별시 성동구 성수1가2동,1
서울특별시 성동구 성수2가1동,1
서울특별시 성동구 성수2가3동,1
서울특별시 성동구 송정동,0
서울특별시 성동구 옥수동,1
서울특별시 성동구 왕십리2동,0
서울특별시 성동구 왕십리도선동,1
서울특별시 성동구 용답동,1
서울특별시 성동구 응봉동,1
서울특별시 성동구 행당1동,0
서울특별시 성동구 행당2동,1
서울특별시 성북구 길음1동,2
서울특별시 성북구 길음2동,0
서울특별시 성북구 돈암1동,0
서울특별시 성북구 돈암2동,1
서울특별시 성북구 동선동,0
서울특별시 성북구 보문동,1
서울특별시 성북구 삼선동,1
서울특별시 성북구 석관동,1
서울특별시 성북구 성북동,1
서울특별시 성북구 안암동,0
서울특별시 성북구 월곡1동,1
서울특별시 성북구 월곡2동,0
서울특별시 성북구 장위1동,0
서울특별시 성북구 장위2동,1
서울특별시 성북구 장위3동,1
서울특별시 성북구 정릉1동,1
서울특별시 성북구 정릉2동,1
서울특별시 성북구 정릉3동,0
서울특별시 성북구 정릉4동,1
서울특별시 성북구 종암동,1
서울특별시 송파구 가락1동,0
서울특별시 송파구 가락2동,1
서울특별시 송파구 가락본동,1
서울특별시 송파구 거여1동,0
서울특별시 송파구 거여2동,0
서울특별시 송파구 마천1동,0
서울특별시 송파구 마천2동,1
서울특별시 송파구 문정1동,0
서울특별시 송파구 문정2동,0
서울특별시 송파구 방이1동,1
서울특별시 송파구 방이2동,0
서울특별시 송파구 삼전동,1
서울특별시 송파구 석촌동,0
서울특별시 송파구 송파1동,1
서울특별시 송파구 송파2동,0
서울특별시 송파구 오금동,1
서울특별시 송파구 오륜동,0
서울특별시 송파구 위례동,1
서울특별시 송파구 잠실2동,1
서울특별시 송파구 잠실3동,0
서울특별시 송파구 잠실4동,1
서울특별시 송파구 잠실6동,0
서울특별시 송파구 잠실7동,0
서울특별시 송파구 잠실본동,0
서울특별시 송파구 장지동,2
서울특별시 송파구 풍납1동,0
서울특별시 송파구 풍납2동,1
서울특별시 양천구 목1동,0
서울특별시 양천구 목2동,0
서울특별시 양천구 목3동,1
서울특별시 양천구 목4동,0
서울특별시 양천구 목5동,1
서울특별시 양천구 신월1동,2
서울특별시 양천구 신월2동,0
서울특별시 양천구 신월3동,0
서울특별시 양천구 신월4동,0
서울특별시 양천구 신월5동,1
서울특별시 양천구 신월6동,0
서울특별시 양천구 신월7동,1
서울특별시 양천구 신정1동,1
서울특별시 양천구 신정2동,0
서울특별시 양천구 신정3동,1
서울특별시 양천구 신정4동,1
서울특별시 양천구 신정6동,0
서울특별시 양천구 신정7동,1
서울특별시 영등포구 당산1동,0
서울특별시 영등포구 당산2동,1
서울특별시 영등포구 대림1동,0
서울특별시 영등포구 대림2동,1
서울특별시 영등포구 대림3동,1
서울특별시 영등포구 도림동,1
서울특별시 영등포구 문래동,1
서울특별시 영등포구 신길1동,0
서울특별시 영등포구 신길3동,0
서울특별시 영등포구 신길4동,0
서울특별시 영등포구 신길5동,1
서울특별시 영등포구 신길6동,1
서울특별시 영등포구 신길7동,1
서울특별시 영등포구 양평1동,1
서울특별시 영등포구 양평2동,0
서울특별시 영등포구 여의동,1
서울특별시 영등포구 영등포동,1
서울특별시 영등포구 영등포본동,1
서울특별시 용산구 남영동,0
서울특별시 용산구 보광동,1
서울특별시 용산구 서빙고동,0
서울특별시 용산구 용문동,0
서울특별시 용산구 용산2가동,1
서울특별시 용산구 원효로1동,1
서울특별시 용산구 원효로2동,0
서울특별시 용산구 이촌1동,1
서울특별시 용산구 이촌2동,0
서울특별시 용산구 이태원1동,1
서울특별시 용산구 이태원2동,0
서울특별시 용산구 청파동,1
서울특별시 용산구 한강로동,2
서울특별시 용산구 한남동,2
서울특별시 용산구 효창동,0
서울특별시 용산구 후암동,1
서울특별시 은평구 갈현1동,0
서울특별시 은평구 갈현2동,1
서울특별시 은평구 구산동,0
서울특별시 은평구 녹번동,1
서울특별시 은평구 대조동,1
서울특별시 은평구 불광1동,1
서울특별시 은평구 불광2동,1
서울특별시 은평구 수색동,0
서울특별시 은평구 신사1동,0
서울특별시 은평구 신사2동,1
서울특별시 은평구 역촌동,2
서울특별시 은평구 응암1동,1
서울특별시 은평구 응암2동,1
서울특별시 은평구 응암3동,0
서울특별시 은평구 증산동,0
서울특별시 은평구 진관동,3
서울특별시 종로구 가회동,0
서울특별시 종로구 교남동,1
서울특별시 종로구 무악동,0
서울특별시 종로구 부암동,1
서울특별시 종로구 사직동,3
서울특별시 종로구 삼청동,1
서울특별시 종로구 숭인1동,0
서울특별시 종로구 숭인2동,1
서울특별시 종로구 이화동,1
서울특별시 종로구 종로1·2·3·4가동,4
서울특별시 종로구 종로5·6가동,2
서울특별시 종로구 창신1동,0
서울특별시 종로구 창신2동,1
서울특별시 종로구 창신3동,1
서울특별시 종로구 청운효자동,2
서울특별시 종로구 평창동,2
서울특별시 종로구 혜화동,2
서울특별시 중구 광희동,1
서울특별시 중구 다산동,0
서울특별시 중구 동화동,0
서울특별시 중구 명동,3
서울특별시 중구 소공동,1
서울특별시 중구 신당5동,1
서울특별시 중구 신당동,1
서울특별시 중구 약수동,1
서울특별시 중구 을지로동,2
서울특별시 중구 장충동,1
서울특별시 중구 중림동,1
서울특별시 중구 청구동,0
서울특별시 중구 필동,1
서울특별시 중구 황학동,0
서울특별시 중구 회현동,3
서울특별시 중랑구 망우3동,0
서울특별시 중랑구 망우본동,2
서울특별시 중랑구 면목2동,1
서울특별시 중랑구 면목3·8동,1
서울특별시 중랑구 면목4동,0
서울특별시 중랑구 면목5동,1
서울특별시 중랑구 면목7동,0
서울특별시 중랑구 면목본동,1
서울특별시 중랑구 묵1동,1
서울특별시 중랑구 묵2동,0
서울특별시 중랑구 상봉1동,0
서울특별시 중랑구 상봉2동,0
서울특별시 중랑구 신내1동,0
서울특별시 중랑구 신내2동,1
서울특별시 중랑구 중화1동,0
서울특별시 중랑구 중화2동,1
